title,type,attribute,id,old_link,new_link
"Referenz-Marktpreise gemäss Art. 15, EnFV",resources,uri,66208027-559c-4029-bc07-026a959db241,https://ckan.opendata.swiss/dataset/eeadc4fb-8f11-4d13-a83b-4a0a0c816aec/resource/ca8b555b-ff28-4b1f-8668-4313109eae80,-
Rückerstattung nach Art. 15b EnG für stromintensive Endverbraucher,dataset,url,5164f3f8-2f72-4447-8527-a59eb882d086,http://www.bfe.admin.ch/ogd28,https://www.bfe.admin.ch/ogd28
Schweizerische Elektrizitätsstatistik: Aufteilung des Endverbrauchs nach Verbrauchergruppen,dataset,url,e86f562e-7b80-4ab7-94e6-2e13b2d11f37,http://www.bfe.admin.ch/ogd33,https://www.bfe.admin.ch/ogd33
"Schweizerische Elektrizitätsstatistik: Aussenhandel der Schweiz mit Elektrizität nach Ländern [vertraglich, handelsbasiert]",dataset,url,135dac98-b7e1-43f0-8f81-248bde301af1, http://www.bfe.admin.ch/ogd62, https://www.bfe.admin.ch/ogd62
Schweizerische Elektrizitätsstatistik: Physikalische Einfuhr und Ausfuhr der Schweiz von Elektrizität nach Ländern,dataset,url,d0cc472e-92e6-4c65-aca1-626ff66c3c79,http://www.bfe.admin.ch/ogd34,https://www.bfe.admin.ch/ogd34
Schweizerische Elektrizitätsstatistik: Schweizerische Elektrizitätsbilanz - Jahreswerte,dataset,url,48ef6abc-d443-4438-aab2-7251cdd2050a,http://www.bfe.admin.ch/ogd32,https://www.bfe.admin.ch/ogd32
Schweizerische Elektrizitätsstatistik: Schweizerische Elektrizitätsbilanz - Monatswerte,dataset,url,df79bf66-f51d-407e-a63b-331d4b516d8f,http://www.bfe.admin.ch/ogd35,https://www.bfe.admin.ch/ogd35
Schweizerische Gesamtenergiestatistik,dataset,url,80a379c0-9dcd-430e-9027-b60226b5b6c5,http://www.bfe.admin.ch/ogd36,https://www.bfe.admin.ch/ogd36
Schweizerische Holzenergiestatistik,dataset,url,aacb2819-864f-4c02-88b5-5906ed63543b,http://www.bfe.admin.ch/ogd37,https://www.bfe.admin.ch/ogd37
Schweizerische Statistik der erneuerbaren Energien,dataset,url,8a26e045-a613-4791-98ae-b69165c30aa2,http://www.bfe.admin.ch/ogd38,https://www.bfe.admin.ch/ogd38
Solarenergiepotenziale der Schweizer Gemeinden,dataset,url,8c6a10fb-72f9-4f3c-bff5-e87d120bbd01,http://www.bfe.admin.ch/ogd52,https://www.bfe.admin.ch/ogd52
Stand der Energiepolitik in den Kantonen,dataset,url,cb3656ae-178e-4447-97d2-6b4987ae1f94,http://www.bfe.admin.ch/ogd39,https://www.bfe.admin.ch/ogd39
Stand der Energiepolitik in den Kantonen,resources,download_url,0afe04de-480d-44fd-a4eb-67d900cf8ef1,http://www.uvek-gis.admin.ch/BFE/ogd/39/ogd39_epec.csv,https://www.uvek-gis.admin.ch/BFE/ogd/39/ogd39_epec.csv
Stand der Energiepolitik in den Kantonen,resources,url,0afe04de-480d-44fd-a4eb-67d900cf8ef1,http://www.uvek-gis.admin.ch/BFE/ogd/39/ogd39_epec.csv,https://www.uvek-gis.admin.ch/BFE/ogd/39/ogd39_epec.csv
Statistik Elektrizitätsverbrauch Widerstandsheizungen bei den Haushalten,dataset,url,bc38ed81-1356-4721-8da0-e5cc613efe4f,http://www.bfe.admin.ch/ogd9,https://www.bfe.admin.ch/ogd9
Statistik Sonnenenergie,dataset,url,badcb4d8-2ff9-47b0-a165-ebdc50ec3b57,http://www.bfe.admin.ch/ogd26,https://www.bfe.admin.ch/ogd26
